,action,time,class,examples,function,text,lfs,num_lfs,data,f1,precision,recall,training_label_coverage,training_label_size,label,lf_ids,lf_id,accuracy,micro_f1,precision_0,precision_1,recall_0,recall_1,dirname,time_delta,tool,task,participant,dataset,num_concepts,NER,annotations,id,index,time_first_seen,concept,len,time_submitted,suggested_lf_ids,class_0_ratio,expected_class_0_ratio,num_deleted,mistakes,condition
53,submit_lfs,2020-05-20 21:15:52.780363,,,,,"[LabelingFunction lf0__, Preprocessors: [], LabelingFunction lf1__, Preprocessors: [], LabelingFunction lf2__, Preprocessors: [], LabelingFunction lf3__, Preprocessors: []]",4.0,,,,,1.0,,,,,,,,,,,,17.9704347,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
54,stats,2020-05-20 21:15:55.915802,,,,,,4.0,dev,0.3220338983050848,1.0,0.1919191919191919,1.0,800.0,,,,,,,,,,,18.022692016666667,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
55,heldout_test_stats,2020-05-20 21:15:55.930706,,,,,,4.0,heldout,0.3008849557522124,1.0,0.17708333333333334,1.0,,,,,,,,,,,,18.022940416666668,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
56,train_model,2020-05-20 21:16:08.129151,,,,,,4.0,test,,,,1.0,,,,,0.6675,0.5667752442996743,0.594059405940594,0.8969072164948454,0.9473684210526316,0.4142857142857143,,18.226247833333332,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
57,heldout_test_LR_stats,2020-05-20 21:16:08.205524,,,,,,4.0,heldout,,,,1.0,,,,,0.6741573033707865,0.5827338129496403,0.5888888888888889,0.9418604651162792,0.9695121951219512,0.421875,,18.227520716666668,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
58,test_function,2020-05-20 21:17:33.349741,,,lf4,Check my channel,,4.0,,,,,1.0,,,,,,,,,,,,19.646591,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
59,submit_lfs,2020-05-20 21:17:36.299364,,,,,"[LabelingFunction lf0__, Preprocessors: [], LabelingFunction lf1__, Preprocessors: [], LabelingFunction lf2__, Preprocessors: [], LabelingFunction lf3__, Preprocessors: [], LabelingFunction lf4__, Preprocessors: []]",5.0,,,,,1.0,,,,,,,,,,,,19.695751383333334,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
60,stats,2020-05-20 21:17:39.412005,,,,,,5.0,dev,0.2,1.0,0.1111111111111111,1.0,800.0,,,,,,,,,,,19.747628733333332,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
61,heldout_test_stats,2020-05-20 21:17:39.427146,,,,,,5.0,heldout,0.2222222222222222,1.0,0.125,1.0,,,,,,,,,,,,19.747881083333333,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
62,train_model,2020-05-20 21:17:54.287781,,,,,,5.0,test,,,,1.0,,,,,0.6975,0.6230529595015577,0.6193771626297578,0.9009009009009008,0.9421052631578948,0.4761904761904762,,19.995558333333335,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
63,heldout_test_LR_stats,2020-05-20 21:17:54.352845,,,,,,5.0,heldout,,,,1.0,,,,,0.6797752808988764,0.6041666666666666,0.5961538461538461,0.90625,0.945121951219512,0.453125,,19.996642733333335,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
64,test_function,2020-05-20 21:19:29.347880,,,lf5,Check my channel,,5.0,,,,,1.0,,,,,,,,,,,,21.579893316666666,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
65,submit_lfs,2020-05-20 21:19:34.041368,,,,,"[LabelingFunction lf0__, Preprocessors: [], LabelingFunction lf1__, Preprocessors: [], LabelingFunction lf2__, Preprocessors: [], LabelingFunction lf3__, Preprocessors: [], LabelingFunction lf4__, Preprocessors: [], LabelingFunction lf5__, Preprocessors: []]",6.0,,,,,1.0,,,,,,,,,,,,21.658118116666667,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
66,stats,2020-05-20 21:19:38.714991,,,,,,6.0,dev,0.2,1.0,0.1111111111111111,1.0,800.0,,,,,,,,,,,21.736011833333333,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
67,heldout_test_stats,2020-05-20 21:19:38.729621,,,,,,6.0,heldout,0.2222222222222222,1.0,0.125,1.0,,,,,,,,,,,,21.73625566666667,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
68,train_model,2020-05-20 21:19:52.950366,,,,,,6.0,test,,,,1.0,,,,,0.6775,0.5627118644067796,0.5968253968253968,0.976470588235294,0.9894736842105264,0.3952380952380952,,21.973268083333334,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
69,heldout_test_LR_stats,2020-05-20 21:19:53.026279,,,,,,6.0,heldout,,,,1.0,,,,,0.6629213483146067,0.5454545454545454,0.5774647887323944,1.0,1.0,0.375,,21.9745333,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
70,show_examples,2020-05-20 21:20:27.645531,,"                                                text  seen  pred_label
4    Party rock﻿                                      0     0.739884  
1    I always end up coming back to this song<br />﻿  0     0.590749  
270  I always have goose bumps at that part           0     0.590749  
257  Check out this playlist on YouTube:a﻿            0     0.590749  
121  Waka waka eh eh﻿                                 0     0.739884  ",,,,6.0,,,,,1.0,,label_model_predictions,,,,,,,,,,22.551520833333335,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
71,show_examples,2020-05-20 21:21:11.888373,0.0,"     label  \
94   0       
246  0       
295  0       
268  0       
34   0       

                                                                                                               text  \
94   I love this shit but I disliked it because it's sucks﻿                                                           
246  Wow                                                                                                              
295  I LOVE YOU!!! Because u make me smile when im sad you cheer me up with your  beautiful songs (: &lt;3﻿           
268  cool                                                                                                             
34   Its funny that Mahogany is there lmao, I actually didn&39;t know that her brother and uncle are part of LMFAO﻿   

     pred_label  label_from_this_LF  
94   0.850703    0                   
246  0.739884    0                   
295  0.850703    0                   
268  0.739884    0                   
34   0.590749    0                   ",,,,6.0,,,,,1.0,,,,,,,,,,,,23.288901533333334,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
72,show_examples,2020-05-20 21:21:11.908427,1.0,"     label  \
141  1       
112  1       
248  1       
241  1       
122  1       

                                                                                                                                                                                               text  \
141  check men out i put allot of effort into my music but unfortunatly not many  watch it﻿                                                                                                           
112  Katy has the voice of gold. this video really brings the lyrics to life. I  am a rapper with 25000 subscribers.. thumbs up if you hate when you take a  shit and the water splashes your nuts﻿   
248  (( rapid facebook )) the free version of all colors and is characterized by  fast and beauty download now https://play.google.com/store/apps/details?id=com.rapid.facebook.magicdroid﻿           
241  if eminem gets 1 penny per view he would have 600 million dollars                                                                                                                                
122  HOW DO YOU PUT A PICTURE FOR YOUR IMAGE THINGIE?!?!﻿                                                                                                                                             

     pred_label  label_from_this_LF  
141  0.590749    0                   
112  0.590749    0                   
248  0.529212    0                   
241  0.590749    0                   
122  0.590749    0                   ",,,,6.0,,,,,1.0,,,,,,,,,,,,23.289235766666668,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
73,test_function,2020-05-20 21:23:17.805385,,,lf1,Check my channel,,6.0,,,,,1.0,,,,,,,,,,,,25.3875184,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
74,submit_lfs,2020-05-20 21:23:20.133187,,,,,"[LabelingFunction lf0__, Preprocessors: [], LabelingFunction lf1__, Preprocessors: [], LabelingFunction lf2__, Preprocessors: [], LabelingFunction lf3__, Preprocessors: [], LabelingFunction lf4__, Preprocessors: [], LabelingFunction lf5__, Preprocessors: []]",6.0,,,,,1.0,,,,,,,,,,,,25.4263151,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
75,stats,2020-05-20 21:23:23.749119,,,,,,6.0,dev,0.2,1.0,0.1111111111111111,1.0,800.0,,,,,,,,,,,25.486580633333332,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
76,heldout_test_stats,2020-05-20 21:23:23.762755,,,,,,6.0,heldout,0.2222222222222222,1.0,0.125,1.0,,,,,,,,,,,,25.4868079,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
77,train_model,2020-05-20 21:23:34.246513,,,,,,6.0,test,,,,1.0,,,,,0.6775,0.5627118644067796,0.5968253968253968,0.976470588235294,0.9894736842105264,0.3952380952380952,,25.6615372,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
78,heldout_test_LR_stats,2020-05-20 21:23:34.307066,,,,,,6.0,heldout,,,,1.0,,,,,0.6629213483146067,0.5454545454545454,0.5774647887323944,1.0,1.0,0.375,,25.662546416666668,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
79,submit_lfs,2020-05-20 21:24:54.583732,,,,,"[LabelingFunction lf0__, Preprocessors: [], LabelingFunction lf1__, Preprocessors: [], LabelingFunction lf2__, Preprocessors: [], LabelingFunction lf3__, Preprocessors: [], LabelingFunction lf4__, Preprocessors: [], LabelingFunction lf5__, Preprocessors: [], LabelingFunction lf6__, Preprocessors: []]",7.0,,,,,1.0,,,,,,,,,,,,27.00049085,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
80,submit_lfs,2020-05-20 21:24:59.090913,,,,,"[LabelingFunction lf0__, Preprocessors: [], LabelingFunction lf1__, Preprocessors: [], LabelingFunction lf2__, Preprocessors: [], LabelingFunction lf3__, Preprocessors: [], LabelingFunction lf4__, Preprocessors: [], LabelingFunction lf5__, Preprocessors: [], LabelingFunction lf6__, Preprocessors: []]",7.0,,,,,1.0,,,,,,,,,,,,27.075610533333332,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
81,stats,2020-05-20 21:25:01.608414,,,,,,7.0,dev,0.653061224489796,1.0,0.4848484848484849,1.0,800.0,,,,,,,,,,,27.117568883333334,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
82,heldout_test_stats,2020-05-20 21:25:01.624007,,,,,,7.0,heldout,0.6526315789473685,1.0,0.484375,1.0,,,,,,,,,,,,27.117828766666666,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
83,train_model,2020-05-20 21:25:16.950939,,,,,,7.0,test,,,,1.0,,,,,0.805,0.7891891891891892,0.7333333333333333,0.9125,0.9263157894736842,0.6952380952380952,,27.373277633333334,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
84,heldout_test_LR_stats,2020-05-20 21:25:17.017354,,,,,,7.0,heldout,,,,1.0,,,,,0.7893258426966292,0.7692307692307693,0.6995515695067265,0.9398496240601504,0.951219512195122,0.6510416666666666,,27.37438455,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
85,submit_lfs,2020-05-20 21:26:00.281538,,,,,"[LabelingFunction lf0__, Preprocessors: [], LabelingFunction lf1__, Preprocessors: [], LabelingFunction lf2__, Preprocessors: [], LabelingFunction lf3__, Preprocessors: [], LabelingFunction lf4__, Preprocessors: [], LabelingFunction lf5__, Preprocessors: []]",6.0,,,,,1.0,,,,,,,,,,,,28.095454283333332,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
86,stats,2020-05-20 21:26:03.413215,,,,,,6.0,dev,0.2,1.0,0.1111111111111111,1.0,800.0,,,,,,,,,,,28.1476489,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
87,heldout_test_stats,2020-05-20 21:26:03.428041,,,,,,6.0,heldout,0.2222222222222222,1.0,0.125,1.0,,,,,,,,,,,,28.147896,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
88,train_model,2020-05-20 21:26:19.970452,,,,,,6.0,test,,,,1.0,,,,,0.5925,0.3895131086142322,0.5393586005830904,0.912280701754386,0.9736842105263158,0.24761904761904766,,28.42360285,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
89,heldout_test_LR_stats,2020-05-20 21:26:20.049140,,,,,,6.0,heldout,,,,1.0,,,,,0.5730337078651685,0.3504273504273504,0.5191082802547771,0.9761904761904762,0.9939024390243902,0.21354166666666666,,28.424914316666666,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
90,submit_lfs,2020-05-20 21:26:33.477084,,,,,"[LabelingFunction lf0__, Preprocessors: [], LabelingFunction lf1__, Preprocessors: [], LabelingFunction lf2__, Preprocessors: [], LabelingFunction lf3__, Preprocessors: [], LabelingFunction lf4__, Preprocessors: [], LabelingFunction lf5__, Preprocessors: [], LabelingFunction lf6__, Preprocessors: []]",7.0,,,,,1.0,,,,,,,,,,,,28.648713383333334,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
91,stats,2020-05-20 21:26:36.446753,,,,,,7.0,dev,0.653061224489796,1.0,0.4848484848484849,1.0,800.0,,,,,,,,,,,28.698207866666667,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
92,heldout_test_stats,2020-05-20 21:26:36.461066,,,,,,7.0,heldout,0.6526315789473685,1.0,0.484375,1.0,,,,,,,,,,,,28.698446416666666,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
93,submit_lfs,2020-05-20 21:28:23.083801,,,,,"[LabelingFunction lf0__, Preprocessors: [], LabelingFunction lf1__, Preprocessors: [], LabelingFunction lf2__, Preprocessors: [], LabelingFunction lf3__, Preprocessors: [], LabelingFunction lf4__, Preprocessors: [], LabelingFunction lf5__, Preprocessors: [], LabelingFunction lf6__, Preprocessors: []]",7.0,,,,,1.0,,,,,,,,,,,,30.475492,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
94,stats,2020-05-20 21:28:27.538357,,,,,,7.0,dev,0.653061224489796,1.0,0.4848484848484849,1.0,800.0,,,,,,,,,,,30.5497346,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
95,heldout_test_stats,2020-05-20 21:28:27.558668,,,,,,7.0,heldout,0.6526315789473685,1.0,0.484375,1.0,,,,,,,,,,,,30.550073116666667,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
96,train_model,2020-05-20 21:28:41.711345,,,,,,7.0,test,,,,1.0,,,,,0.805,0.7891891891891892,0.7333333333333333,0.9125,0.9263157894736842,0.6952380952380952,,30.785951066666666,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
97,heldout_test_LR_stats,2020-05-20 21:28:41.777050,,,,,,7.0,heldout,,,,1.0,,,,,0.7893258426966292,0.7692307692307693,0.6995515695067265,0.9398496240601504,0.951219512195122,0.6510416666666666,,30.78704615,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
98,save_model,2020-05-20 21:28:56.555408,,,,,,7.0,,,,,1.0,,,,,,,,,,,snorkel_youtube,31.033352116666666,Snorkel,spam,p2,youtube,,,,,,,,,,,,,,,snorkel
0,heldout_test_stats,2020-05-21 22:23:27.563182,,,,,,0.0,heldout,0.5,0.0,0.0,0.0,0.0,,,,0.5,0.5,0.0,0.0,0.0,0.0,,0.0,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,,,,,,ruler
0,stats,2020-05-21 22:23:27.563182,,,,,,0.0,dev,0.5,0.0,0.0,0.0,0.0,,,,0.5,0.5,0.0,0.0,0.0,0.0,,0.0,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,,,,,,ruler
0,heldout_test_LR_stats,2020-05-21 22:23:27.563182,,,,,,0.0,heldout,0.5,0.0,0.0,0.0,0.0,,,,0.5,0.5,0.0,0.0,0.0,0.0,,0.0,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,,,,,,ruler
0,train_model,2020-05-21 22:23:27.563182,,,,,,0.0,test,0.5,0.0,0.0,0.0,0.0,,,,0.5,0.5,0.0,0.0,0.0,0.0,,0.0,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,,,,,,ruler
0,stats,2020-05-21 22:23:27.563182,,,,,,0.0,dev,0.5,0.0,0.0,0.0,0.0,,,,0.5,0.5,0.0,0.0,0.0,0.0,,0.0,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,,,,,,ruler
1,begin,2020-05-21 22:23:45.004970,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.29069646666666665,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,,,,,,ruler
2,next_text,2020-05-21 22:23:45.019093,,,,"Touched by an Angel, The Christmas Album, will definately remind you what Christmas is really about. Wayne Watson's ""Such a Time as This"" and Kenny Lattimore's ""Miracles"" will have you raising your hands in praise! What a beautiful album!",,0.0,,,,,0.0,,,,,,,,,,,,0.29093185,Ruler,sentiment,p2,amazon,0.0,"[{'id': '3_383', 'start_offset': 14, 'end_offset': 19, 'label': 'ORG', 'explanation': 'Companies, agencies, institutions, etc.'}, {'id': '14_391', 'start_offset': 74, 'end_offset': 83, 'label': 'DATE', 'explanation': 'Absolute or relative dates or periods'}, {'id': '19_380', 'start_offset': 101, 'end_offset': 115, 'label': 'PERSON', 'explanation': 'People, including fictional'}, {'id': '23_388', 'start_offset': 117, 'end_offset': 137, 'label': 'WORK_OF_ART', 'explanation': 'Titles of books, songs, etc.'}, {'id': '30_380', 'start_offset': 142, 'end_offset': 159, 'label': 'PERSON', 'explanation': 'People, including fictional'}, {'id': '34_388', 'start_offset': 161, 'end_offset': 169, 'label': 'WORK_OF_ART', 'explanation': 'Titles of books, songs, etc.'}]",[],499.0,0.0,2020-05-21 22:23:45.018979,,,,,,,,,ruler
3,stats,2020-05-21 22:23:45.028705,,,,,,0.0,dev,,,,0.0,,,,,,,,,,,,0.29109205,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,,,,,,ruler
4,submit_interaction,2020-05-21 22:24:02.566366,,,,"Touched by an Angel, The Christmas Album, will definately remind you what Christmas is really about. Wayne Watson's ""Such a Time as This"" and Kenny Lattimore's ""Miracles"" will have you raising your hands in praise! What a beautiful album!",,0.0,,,,,0.0,,1.0,,,,,,,,,,0.5833864,Ruler,sentiment,p2,amazon,0.0,,[],,0.0,,,0.0,2020-05-21 22:24:02.548934,,,,,,ruler
5,suggest_lfs,2020-05-21 22:24:02.576759,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.5835596166666667,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,[],,,,,ruler
6,submit_interaction,2020-05-21 22:24:14.908351,,,,"Touched by an Angel, The Christmas Album, will definately remind you what Christmas is really about. Wayne Watson's ""Such a Time as This"" and Kenny Lattimore's ""Miracles"" will have you raising your hands in praise! What a beautiful album!",,0.0,,,,,0.0,,1.0,,,,,,,,,,0.78908615,Ruler,sentiment,p2,amazon,0.0,,"[{'id': 207, 'label': 0, 'start_offset': 207, 'end_offset': 213, 'text': 'praise', 'link': None, 'type': 'annotation'}]",,0.0,,,1.0,2020-05-21 22:24:14.892678,,,,,,ruler
7,suggest_lfs,2020-05-21 22:24:14.918276,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.7892515666666666,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,['praise0TOKENFalse_0_False_1'],,,,,ruler
8,submit_interaction,2020-05-21 22:24:19.253840,,,,"Touched by an Angel, The Christmas Album, will definately remind you what Christmas is really about. Wayne Watson's ""Such a Time as This"" and Kenny Lattimore's ""Miracles"" will have you raising your hands in praise! What a beautiful album!",,0.0,,,,,0.0,,1.0,,,,,,,,,,0.8615109666666667,Ruler,sentiment,p2,amazon,0.0,,"[{'id': 207, 'label': 0, 'start_offset': 207, 'end_offset': 213, 'text': 'praise', 'link': None, 'type': 'annotation'}, {'id': 222, 'label': 0, 'start_offset': 222, 'end_offset': 231, 'text': 'beautiful', 'link': None, 'type': 'annotation'}]",,0.0,,,2.0,2020-05-21 22:24:19.237583,,,,,,ruler
9,suggest_lfs,2020-05-21 22:24:19.264189,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.86168345,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,"['beautiful0TOKENFalse-praise0TOKENFalse_0_False_1', 'praise0TOKENFalse_0_False_1', 'beautiful0TOKENFalse_0_False_1']",,,,,ruler
10,stats,2020-05-21 22:24:25.836555,,,,,,0.0,dev,,,,0.0,,,,,,,,,,,,0.9712228833333333,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,,,,,,ruler
11,next_text,2020-05-21 22:24:25.854978,,,,"This album is a mixture of hardcore, metalcore and swedish deathmetal. Overall you can say this a more swedish deathmetal inspired album, and for me that was kind of a dissapointment, because i hoped to hear more hardcore and metalcore inspired songs like ""weapon they fear"". So 4 stars for me instead of 5.The best songs on this album are;2. Weapon They Fear3. Only Truth6. Numbing the Pain",,0.0,,,,,0.0,,,,,,,,,,,,0.9715299333333334,Ruler,sentiment,p2,amazon,0.0,"[{'id': '10_381', 'start_offset': 51, 'end_offset': 58, 'label': 'NORP', 'explanation': 'Nationalities or religious or political groups'}, {'id': '20_381', 'start_offset': 103, 'end_offset': 110, 'label': 'NORP', 'explanation': 'Nationalities or religious or political groups'}, {'id': '54_397', 'start_offset': 279, 'end_offset': 280, 'label': 'CARDINAL', 'explanation': 'Numerals that do not fall under another type'}]",[],657.0,1.0,2020-05-21 22:24:25.854904,,,,,,,,,ruler
12,submit_lfs,2020-05-21 22:24:26.041079,,,,,,0.0,,,,,0.0,,,"['beautiful0TOKENFalse_0_False_1', 'praise0TOKENFalse_0_False_1']",,,,,,,,,0.9746316166666666,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,,,,,,ruler
13,submit_interaction,2020-05-21 22:24:27.098528,,,,"This album is a mixture of hardcore, metalcore and swedish deathmetal. Overall you can say this a more swedish deathmetal inspired album, and for me that was kind of a dissapointment, because i hoped to hear more hardcore and metalcore inspired songs like ""weapon they fear"". So 4 stars for me instead of 5.The best songs on this album are;2. Weapon They Fear3. Only Truth6. Numbing the Pain",,2.0,,,,,0.0,,1.0,,,,,,,,,,0.9922557666666667,Ruler,sentiment,p2,amazon,0.0,,[],,1.0,,,0.0,2020-05-21 22:24:27.076743,,,,,,ruler
14,suggest_lfs,2020-05-21 22:24:27.108507,,,,,,2.0,,,,,0.0,,,,,,,,,,,,0.9924220833333334,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,[],,,,,ruler
15,stats,2020-05-21 22:24:27.300425,,,,,,2.0,dev,0.58,0.5471698113207547,0.6170212765957447,0.0325,,,,,,,,,,,,0.9956207166666666,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,,0.0,0.47,,,ruler
16,heldout_test_stats,2020-05-21 22:24:27.318310,,,,,,2.0,heldout,0.5267080745341616,0.5011820330969267,0.5549738219895288,0.0325,,,,,,,,,,,,0.9959188,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,,,,,,ruler
17,submit_interaction,2020-05-21 22:24:44.755047,,,,"This album is a mixture of hardcore, metalcore and swedish deathmetal. Overall you can say this a more swedish deathmetal inspired album, and for me that was kind of a dissapointment, because i hoped to hear more hardcore and metalcore inspired songs like ""weapon they fear"". So 4 stars for me instead of 5.The best songs on this album are;2. Weapon They Fear3. Only Truth6. Numbing the Pain",,2.0,,,,,0.0325,,0.0,,,,,,,,,,1.2865310833333334,Ruler,sentiment,p2,amazon,0.0,,[],,1.0,,,0.0,2020-05-21 22:24:44.736649,,,,,,ruler
18,suggest_lfs,2020-05-21 22:24:44.765845,,,,,,2.0,,,,,0.0325,,,,,,,,,,,,1.28671105,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,[],,,,,ruler
19,submit_interaction,2020-05-21 22:24:46.884438,,,,"This album is a mixture of hardcore, metalcore and swedish deathmetal. Overall you can say this a more swedish deathmetal inspired album, and for me that was kind of a dissapointment, because i hoped to hear more hardcore and metalcore inspired songs like ""weapon they fear"". So 4 stars for me instead of 5.The best songs on this album are;2. Weapon They Fear3. Only Truth6. Numbing the Pain",,2.0,,,,,0.0325,,0.0,,,,,,,,,,1.3220209333333333,Ruler,sentiment,p2,amazon,0.0,,"[{'id': 168, 'label': 0, 'start_offset': 168, 'end_offset': 182, 'text': 'dissapointment', 'link': None, 'type': 'annotation'}]",,1.0,,,1.0,2020-05-21 22:24:46.865765,,,,,,ruler
20,suggest_lfs,2020-05-21 22:24:46.895837,,,,,,2.0,,,,,0.0325,,,,,,,,,,,,1.3222109166666667,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,['dissapointment0TOKENFalse_0_False_0'],,,,,ruler
21,submit_interaction,2020-05-21 22:25:01.353287,,,,"This album is a mixture of hardcore, metalcore and swedish deathmetal. Overall you can say this a more swedish deathmetal inspired album, and for me that was kind of a dissapointment, because i hoped to hear more hardcore and metalcore inspired songs like ""weapon they fear"". So 4 stars for me instead of 5.The best songs on this album are;2. Weapon They Fear3. Only Truth6. Numbing the Pain",,2.0,,,,,0.0325,,0.0,,,,,,,,,,1.5631684166666666,Ruler,sentiment,p2,amazon,0.0,,"[{'id': 168, 'label': 0, 'start_offset': 168, 'end_offset': 182, 'text': 'dissapointment', 'link': None, 'type': 'annotation'}, {'id': 192, 'label': 0, 'start_offset': 192, 'end_offset': 202, 'text': 'i hoped to', 'link': None, 'type': 'annotation'}]",,1.0,,,2.0,2020-05-21 22:25:01.334473,,,,,,ruler
22,suggest_lfs,2020-05-21 22:25:01.364531,,,,,,2.0,,,,,0.0325,,,,,,,,,,,,1.5633558166666666,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,"['dissapointment0TOKENFalse-i hoped to0TOKENFalse_0_False_0', 'dissapointment0TOKENFalse_0_False_0', 'i hoped to0TOKENFalse_0_False_0']",,,,,ruler
23,submit_interaction,2020-05-21 22:25:32.923967,,,,"This album is a mixture of hardcore, metalcore and swedish deathmetal. Overall you can say this a more swedish deathmetal inspired album, and for me that was kind of a dissapointment, because i hoped to hear more hardcore and metalcore inspired songs like ""weapon they fear"". So 4 stars for me instead of 5.The best songs on this album are;2. Weapon They Fear3. Only Truth6. Numbing the Pain",,2.0,,,,,0.0325,,0.0,,,,,,,,,,2.089346416666667,Ruler,sentiment,p2,amazon,0.0,,"[{'id': 168, 'label': 0, 'start_offset': 168, 'end_offset': 182, 'text': 'dissapointment', 'link': None, 'type': 'annotation'}, {'id': 192, 'label': 0, 'start_offset': 192, 'end_offset': 202, 'text': 'i hoped to', 'link': None, 'type': 'annotation'}, {'id': 279, 'label': 0, 'start_offset': 279, 'end_offset': 286, 'text': '4 stars', 'link': None, 'type': 'annotation'}]",,1.0,,,3.0,2020-05-21 22:25:32.904998,,,,,,ruler
24,suggest_lfs,2020-05-21 22:25:32.934882,,,,,,2.0,,,,,0.0325,,,,,,,,,,,,2.0895283333333334,Ruler,sentiment,p2,amazon,0.0,,,,,,,,,"['4 stars0TOKENFalse-dissapointment0TOKENFalse-i hoped to0TOKENFalse_0_False_0', 'dissapointment0TOKENFalse_0_False_0', 'i hoped to0TOKENFalse_0_False_0', '4 stars0TOKENFalse_0_False_0']",,,,,ruler
25,submit_interaction,2020-05-21 22:25:34.495301,,,,"This album is a mixture of hardcore, metalcore and swedish deathmetal. Overall you can say this a more swedish deathmetal inspired album, and for me that was kind of a dissapointment, because i hoped to hear more hardcore and metalcore inspired songs like ""weapon they fear"". So 4 stars for me instead of 5.The best songs on this album are;2. Weapon They Fear3. Only Truth6. Numbing the Pain",,2.0,,,,,0.0325,,0.0,,,,,,,,,,2.1155353166666666,Ruler,sentiment,p2,amazon,0.0,,"[{'id': 168, 'label': 0, 'start_offset': 168, 'end_offset': 182, 'text': 'dissapointment', 'link': None, 'type': 'annotation'}, {'id': 192, 'label': 0, 'start_offset': 192, 'end_offset': 202, 'text': 'i hoped to', 'link': None, 'type': 'annotation'}]",,1.0,,,2.0,2020-05-21 22:25:34.476432,,,,,,ruler
